Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Seasonal Availability,Seasonality,Gender,Style 1,Style 2,Label Themes,Sort Order,Villager Equippable,Catalog,Version Added,Unlocked?,Filename,ClothGroup ID,Internal ID,Unique Entry ID
acorn pochette,https://acnhcdn.com/latest/ClosetIcon/BagShoulderAcorn0.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderAcorn0.png,NA,Yes,NFS,2400,201,Brown,Green,1x1,NA,NA,Crafting,,acorns and pine cones,Yes,All Year,All Year,Free,Cute,Cute,fairy tale,1,No,Not for sale,1.0.0,Yes,BagShoulderAcorn0,980,7492,XiC7bNzTBAdb8zWwr
apparel-shop paper bag,NA,https://acnhcdn.com/latest/FtrIcon/ToolBagPaperfashion0.png,Pink,No,720,180,23,White,Pink,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Elegant,everyday,1,No,For sale,2.0.0,Yes,ToolBagPaperfashion0,1510,14870,4ufLamXovvb7SbwKh
apparel-shop paper bag,NA,https://acnhcdn.com/latest/FtrIcon/ToolBagPaperfashion1.png,Light blue,No,720,180,23,White,Aqua,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Elegant,everyday,2,No,For sale,2.0.0,Yes,ToolBagPaperfashion1,1510,306,WAxwLb5yJpatBDRrp
Asian-style clasp purse,https://acnhcdn.com/latest/ClosetIcon/BagShoulderGamaguchiAsian0.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderGamaguchiAsian0.png,Black,No,960,240,23,Black,Red,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Cute,everyday,1,No,For sale,2.0.0,Yes,BagShoulderGamaguchiAsian0,1490,14859,JEshZRB4MsJjn6qR7
Asian-style clasp purse,https://acnhcdn.com/latest/ClosetIcon/BagShoulderGamaguchiAsian1.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderGamaguchiAsian1.png,Blue,No,960,240,23,Blue,Yellow,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Cute,everyday,2,No,For sale,2.0.0,Yes,BagShoulderGamaguchiAsian1,1490,352,HQ2Lj5h3pYiKavNAp
basket bag,NA,https://acnhcdn.com/latest/FtrIcon/ToolBagBasket0.png,Light brown,No,1120,280,23,Beige,Beige,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Cute,fairy tale; vacation,1,No,For sale,2.0.0,Yes,ToolBagBasket0,1503,14791,JgJwc8Wr2evdQxpRi
basket bag,NA,https://acnhcdn.com/latest/FtrIcon/ToolBagBasket2.png,Brown,No,1120,280,23,Brown,Brown,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Cute,fairy tale; vacation,2,No,For sale,2.0.0,Yes,ToolBagBasket2,1503,369,6oX353Da7NJdAsHuo
basket bag,NA,https://acnhcdn.com/latest/FtrIcon/ToolBagBasket1.png,White,No,1120,280,23,White,White,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Cute,fairy tale; vacation,3,No,For sale,2.0.0,Yes,ToolBagBasket1,1503,368,7rKZmcoHLonmJD6N3
basket pack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackBasket0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackBasket0.png,NA,Yes,NFS,2400,103,Green,Green,1x1,NA,NA,Crafting,,young spring bamboo,Yes,All Year,All Year,Free,Simple,Simple,outdoorsy; work,1,No,Not for sale,1.0.0,Yes,BagBackpackBasket0,995,7506,BW764rj9aH3QL6GRH
beaded clasp purse,https://acnhcdn.com/latest/ClosetIcon/BagShoulderGamaguchiBijou0.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderGamaguchiBijou0.png,Purple,No,960,240,23,Purple,Pink,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Elegant,everyday,1,No,For sale,2.0.0,Yes,BagShoulderGamaguchiBijou0,1492,14861,RLmEKHTmqpSNx3JaH
beaded clasp purse,https://acnhcdn.com/latest/ClosetIcon/BagShoulderGamaguchiBijou1.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderGamaguchiBijou1.png,Pink,No,960,240,23,Pink,Beige,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Elegant,everyday,2,No,For sale,2.0.0,Yes,BagShoulderGamaguchiBijou1,1492,355,yw7dxwmwsqjbPhXvv
beaded clasp purse,https://acnhcdn.com/latest/ClosetIcon/BagShoulderGamaguchiBijou2.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderGamaguchiBijou2.png,Navy blue,No,960,240,23,Black,Gray,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Elegant,everyday,3,No,For sale,2.0.0,Yes,BagShoulderGamaguchiBijou2,1492,356,FrNRJhxm9pffD3eG4
bear backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackBear0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackBear0.png,Brown,No,1300,325,23,Beige,Red,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Cute,Cute,fairy tale,1,No,For sale,2.0.0,Yes,BagBackpackBear0,1238,12877,yadG76uHehTnHavwc
bear backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackBear1.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackBear1.png,White,No,1300,325,23,White,Blue,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Cute,Cute,fairy tale,2,No,For sale,2.0.0,Yes,BagBackpackBear1,1238,339,QGqP8WkBA4HYaqknA
bear backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackBear2.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackBear2.png,Pink,No,1300,325,23,Pink,Aqua,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Cute,Cute,fairy tale,3,No,For sale,2.0.0,Yes,BagBackpackBear2,1238,714,QJNEepzqmHiqS28Lp
bear backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackBear3.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackBear3.png,Light blue,No,1300,325,23,Aqua,Yellow,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Cute,Cute,fairy tale,4,No,For sale,2.0.0,Yes,BagBackpackBear3,1238,718,GqPuKvErbpXQSjNqL
bear backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackBear4.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackBear4.png,Black,No,1300,325,23,Black,Purple,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Cute,Cute,fairy tale,5,No,For sale,2.0.0,Yes,BagBackpackBear4,1238,719,xwj7zZQboPT3DDweq
botanical-print backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackTownPattern0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackTownPattern0.png,Black,No,1280,320,23,Yellow,Green,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Active,everyday,1,No,For sale,2.0.0,Yes,BagBackpackTownPattern0,1455,14782,9SGwf8R6ZDR2dtc4R
botanical-print backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackTownPattern1.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackTownPattern1.png,White,No,1280,320,23,Red,Green,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Active,everyday,2,No,For sale,2.0.0,Yes,BagBackpackTownPattern1,1455,675,7kt8r6FMmKMEyTevE
bread-print eco bag,NA,https://acnhcdn.com/latest/FtrIcon/ToolBagEcobread0.png,NA,No,840,210,23,White,Beige,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Active,everyday,1,No,For sale,2.0.0,Yes,ToolBagEcobread0,1519,14813,6byP9duj2EyL3Sdqe
bug cage,https://acnhcdn.com/latest/ClosetIcon/BagShoulderCage0.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderCage0.png,NA,No,NFS,122,501,Green,White,1x1,NA,NA,Flick,,Bug-Off (1); Bug-Off (2); Bug-Off (3); Bug-Off (4),Yes,All Year,All Year,Free,Active,Active,outdoorsy; vacation,1,No,Not for sale,1.0.0,Yes,BagShoulderCage0,967,7479,nrkEKkL46YsQYcYjp
Bunny Day bag,https://acnhcdn.com/latest/ClosetIcon/BagBackpackEgg0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackEgg0.png,NA,Yes,NFS,2400,351,Colorful,Colorful,1x1,NA,NA,Crafting,,Bunny Day (days before); Bunny Day,Yes,All Year,All Year,Free,Active,Cute,fairy tale; party; theatrical,1,No,Not for sale,1.1.0,Yes,BagBackpackEgg0,1203,12447,YGofzAZknSTYWmfWM
butterfly backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackButterfly0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackButterfly0.png,NA,No,NFS,210,501,Pink,Yellow,1x1,NA,NA,Flick,,Bug-Off (1); Bug-Off (2); Bug-Off (3); Bug-Off (4),Yes,All Year,All Year,Free,Cute,Cute,everyday; fairy tale; theatrical,1,No,Not for sale,1.0.0,Yes,BagBackpackButterfly0,991,7502,unsmeHZemRaTnq62z
camo tote bag,NA,https://acnhcdn.com/latest/FtrIcon/ToolBagTotecamouflage0.png,Green,No,980,245,23,Green,Black,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Active,everyday; outdoorsy,1,No,For sale,2.0.0,Yes,ToolBagTotecamouflage0,1514,14890,hkENX8rbZFmeCvs3m
camo tote bag,NA,https://acnhcdn.com/latest/FtrIcon/ToolBagTotecamouflage1.png,Brown,No,980,245,23,Brown,Black,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Active,everyday; outdoorsy,2,No,For sale,2.0.0,Yes,ToolBagTotecamouflage1,1514,367,gKdTa28W2bkWRKpEQ
canvas backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackTote0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackTote0.png,NA,No,1300,325,23,White,Orange,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Simple,everyday,1,No,For sale,1.0.0,Yes,BagBackpackTote0,998,7509,ZtgYddBwpZfGMjewu
checkered backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackTownCheck2.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackTownCheck2.png,Gray,No,1200,300,23,Gray,Brown,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Active,everyday,1,No,For sale,2.0.0,Yes,BagBackpackTownCheck2,1480,702,ygmvdDwEN95Z9zrKv
checkered backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackTownCheck3.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackTownCheck3.png,Green,No,1200,300,23,Green,Brown,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Active,everyday,2,No,For sale,2.0.0,Yes,BagBackpackTownCheck3,1480,703,XYXcQcweG2G3cg6ok
checkered backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackTownCheck1.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackTownCheck1.png,Blue,No,1200,300,23,Aqua,Brown,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Active,everyday,3,No,For sale,2.0.0,Yes,BagBackpackTownCheck1,1480,701,vv2SEMWDvGaCRqPqu
checkered backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackTownCheck0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackTownCheck0.png,Brown,No,1200,300,23,Brown,Brown,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Active,everyday,4,No,For sale,2.0.0,Yes,BagBackpackTownCheck0,1480,14844,dj6vtf6XAqYjHEaqs
cherry-blossom pochette,https://acnhcdn.com/latest/ClosetIcon/BagShoulderCherryblossoms0.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderCherryblossoms0.png,NA,Yes,NFS,2400,201,Pink,Pink,1x1,NA,NA,Crafting,,cherry-blossom petals,Yes,All Year,All Year,Free,Cute,Cute,fairy tale; vacation,1,No,Not for sale,1.0.0,Yes,BagShoulderCherryblossoms0,978,7490,wwkZdhj9HzxZiqHys
clasp purse,https://acnhcdn.com/latest/ClosetIcon/BagShoulderGamaguchi4.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderGamaguchi4.png,White,No,880,220,23,White,Yellow,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Simple,everyday,1,No,For sale,2.0.0,Yes,BagShoulderGamaguchi4,1456,345,72Xsfpp7ewaTkzyB5
clasp purse,https://acnhcdn.com/latest/ClosetIcon/BagShoulderGamaguchi5.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderGamaguchi5.png,Ash,No,880,220,23,Gray,Yellow,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Simple,everyday,2,No,For sale,2.0.0,Yes,BagShoulderGamaguchi5,1456,346,6PCNSGwpH6fuCsbfk
clasp purse,https://acnhcdn.com/latest/ClosetIcon/BagShoulderGamaguchi1.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderGamaguchi1.png,Red,No,880,220,23,Red,Yellow,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Simple,everyday,3,No,For sale,2.0.0,Yes,BagShoulderGamaguchi1,1456,340,aKBzafbwwNiuAJo8c
clasp purse,https://acnhcdn.com/latest/ClosetIcon/BagShoulderGamaguchi3.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderGamaguchi3.png,Green,No,880,220,23,Green,Yellow,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Simple,everyday,4,No,For sale,2.0.0,Yes,BagShoulderGamaguchi3,1456,344,BZadwstw2oGF4PhcD
clasp purse,https://acnhcdn.com/latest/ClosetIcon/BagShoulderGamaguchi2.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderGamaguchi2.png,Blue,No,880,220,23,Blue,Yellow,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Simple,everyday,5,No,For sale,2.0.0,Yes,BagShoulderGamaguchi2,1456,342,9pY8hpFHx8wCTW957
clasp purse,https://acnhcdn.com/latest/ClosetIcon/BagShoulderGamaguchi6.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderGamaguchi6.png,Brown,No,880,220,23,Brown,Yellow,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Simple,everyday,6,No,For sale,2.0.0,Yes,BagShoulderGamaguchi6,1456,347,Rgwvj3weSoA3dHgT8
clasp purse,https://acnhcdn.com/latest/ClosetIcon/BagShoulderGamaguchi0.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderGamaguchi0.png,Yellow,No,880,220,23,Brown,Yellow,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Simple,everyday,7,No,For sale,2.0.0,Yes,BagShoulderGamaguchi0,1456,14783,SGiaYqqaRQnTkiY4X
cloth shoulder bag,https://acnhcdn.com/latest/ClosetIcon/BagShoulderCanvas2.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderCanvas2.png,Ivory,No,1400,350,23,White,White,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Simple,everyday,1,No,For sale,1.0.0,Yes,BagShoulderCanvas2,975,12014,NfkYKg5NoaWKBEpzN
cloth shoulder bag,https://acnhcdn.com/latest/ClosetIcon/BagShoulderCanvas1.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderCanvas1.png,Orange,No,1400,350,23,Orange,Orange,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Simple,everyday,2,No,For sale,1.0.0,Yes,BagShoulderCanvas1,975,12013,dcpCgBwji4QCYAy8k
cloth shoulder bag,https://acnhcdn.com/latest/ClosetIcon/BagShoulderCanvas0.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderCanvas0.png,Blue,No,1400,350,23,Aqua,Aqua,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Simple,everyday,3,No,For sale,1.0.0,Yes,BagShoulderCanvas0,975,7487,DzoRrArWrKtzn6Xzc
clutch,NA,https://acnhcdn.com/latest/FtrIcon/ToolBagSecond0.png,Light brown,No,2200,550,23,Brown,Gray,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Cool,Simple,formal; party; work,1,No,For sale,2.0.0,Yes,ToolBagSecond0,1512,14792,GpChrXR8j8XRnmxJn
clutch,NA,https://acnhcdn.com/latest/FtrIcon/ToolBagSecond3.png,Black,No,2200,550,23,Black,Gray,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Cool,Simple,formal; party; work,2,No,For sale,2.0.0,Yes,ToolBagSecond3,1512,309,wame2CAf7JdS6rpYF
clutch,NA,https://acnhcdn.com/latest/FtrIcon/ToolBagSecond2.png,Red,No,2200,550,23,Red,Gray,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Cool,Simple,formal; party; work,3,No,For sale,2.0.0,Yes,ToolBagSecond2,1512,308,cmkQMhu3kWCsqu7AM
clutch,NA,https://acnhcdn.com/latest/FtrIcon/ToolBagSecond1.png,Green,No,2200,550,23,Green,Gray,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Cool,Simple,formal; party; work,4,No,For sale,2.0.0,Yes,ToolBagSecond1,1512,307,ire3uCiNDD8JvsgAe
crossbody bag,https://acnhcdn.com/latest/ClosetIcon/BagBackpackBody3.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackBody3.png,White,No,700,175,23,White,Black,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Active,Simple,everyday; outdoorsy; sporty,1,No,For sale,1.0.0,Yes,BagBackpackBody3,971,11982,FsyHb5QAf8DDvPC7y
crossbody bag,https://acnhcdn.com/latest/ClosetIcon/BagBackpackBody0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackBody0.png,Pink,No,700,175,23,Pink,Black,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Active,Simple,everyday; outdoorsy; sporty,2,No,For sale,1.0.0,Yes,BagBackpackBody0,971,7483,zXtyCFHwWjnChTami
crossbody bag,https://acnhcdn.com/latest/ClosetIcon/BagBackpackBody2.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackBody2.png,Yellow,No,700,175,23,Yellow,Black,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Active,Simple,everyday; outdoorsy; sporty,3,No,For sale,1.0.0,Yes,BagBackpackBody2,971,11981,zX6ZX4puTojGuJgGj
crossbody bag,https://acnhcdn.com/latest/ClosetIcon/BagBackpackBody1.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackBody1.png,Green,No,700,175,23,Green,Black,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Active,Simple,everyday; outdoorsy; sporty,4,No,For sale,1.0.0,Yes,BagBackpackBody1,971,11980,tbfNwy8RmGztJdAnn
crossbody boston bag,https://acnhcdn.com/latest/ClosetIcon/BagShoulderDrum0.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderDrum0.png,Red,No,1680,420,23,Red,Black,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Active,everyday; outdoorsy; sporty,1,No,For sale,1.0.0,Yes,BagShoulderDrum0,973,7485,8MwDxuHHvYM3XJpmy
crossbody boston bag,https://acnhcdn.com/latest/ClosetIcon/BagShoulderDrum1.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderDrum1.png,Blue,No,1680,420,23,Blue,Black,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Active,everyday; outdoorsy; sporty,2,No,For sale,1.0.0,Yes,BagShoulderDrum1,973,12011,w98ZrTQWiRMHyveaa
DAL backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackDal0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackDal0.png,NA,No,NFS,1010,251,Blue,Black,1x1,NA,NA,Dodo Airlines,Received in mail from DAL after 200 flights,NA,NA,All Year,All Year,Free,Cool,Active,outdoorsy; vacation,1,No,Not for sale,1.0.0,Yes,BagBackpackDal0,1185,12131,3mGmqSPj5YPujiDgD
delivery bag,https://acnhcdn.com/latest/ClosetIcon/BagBackpackDelivery0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackDelivery0.png,Black,No,1320,330,23,Black,Yellow,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Active,work,1,No,For sale,2.0.0,Yes,BagBackpackDelivery0,1410,14426,Hc56JjxXHqmyEN6hX
delivery bag,https://acnhcdn.com/latest/ClosetIcon/BagBackpackDelivery5.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackDelivery5.png,Pink,No,1320,330,23,Pink,Aqua,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Active,work,2,No,For sale,2.0.0,Yes,BagBackpackDelivery5,1410,495,5av7fenfkMy3vjn8z
delivery bag,https://acnhcdn.com/latest/ClosetIcon/BagBackpackDelivery3.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackDelivery3.png,Yellow,No,1320,330,23,Yellow,Green,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Active,work,3,No,For sale,2.0.0,Yes,BagBackpackDelivery3,1410,493,qSsTErgNMisB4kYiy
delivery bag,https://acnhcdn.com/latest/ClosetIcon/BagBackpackDelivery2.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackDelivery2.png,Green,No,1320,330,23,Green,Orange,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Active,work,4,No,For sale,2.0.0,Yes,BagBackpackDelivery2,1410,492,775xLbTPuWMtC75Zw
delivery bag,https://acnhcdn.com/latest/ClosetIcon/BagBackpackDelivery1.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackDelivery1.png,Blue,No,1320,330,23,Blue,Black,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Active,work,5,No,For sale,2.0.0,Yes,BagBackpackDelivery1,1410,491,rRZTG2WKqmPY6ZkTY
delivery bag,https://acnhcdn.com/latest/ClosetIcon/BagBackpackDelivery4.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackDelivery4.png,Brown,No,1320,330,23,Brown,Beige,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Active,work,6,No,For sale,2.0.0,Yes,BagBackpackDelivery4,1410,494,NnEm5JHQNsaKhFeGt
department-store paper bag,NA,https://acnhcdn.com/latest/FtrIcon/ToolBagPaperflower0.png,Blue,No,640,160,23,White,Blue,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Elegant,everyday,1,No,For sale,2.0.0,Yes,ToolBagPaperflower0,1511,14872,YGdBmWuCmsg8BkBAG
department-store paper bag,NA,https://acnhcdn.com/latest/FtrIcon/ToolBagPaperflower1.png,Red,No,640,160,23,White,Red,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Elegant,everyday,2,No,For sale,2.0.0,Yes,ToolBagPaperflower1,1511,305,Zycux4ZrTYM3at2p3
diamond-weave basket bag,NA,https://acnhcdn.com/latest/FtrIcon/ToolBagBasketdiagram0.png,NA,No,1280,320,23,Beige,Green,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Cute,everyday; fairy tale; vacation,1,No,For sale,2.0.0,Yes,ToolBagBasketdiagram0,1505,14854,Xo3PBCD4pbS7cxwdb
dreamy backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackTownYumekawa0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackTownYumekawa0.png,Pink,No,1280,320,23,Pink,Purple,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Active,everyday; fairy tale,1,No,For sale,2.0.0,Yes,BagBackpackTownYumekawa0,1483,14838,zcEJv97N6J2k5EPxS
dreamy backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackTownYumekawa1.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackTownYumekawa1.png,Mint,No,1280,320,23,Green,Purple,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Active,everyday; fairy tale,2,No,For sale,2.0.0,Yes,BagBackpackTownYumekawa1,1483,679,ub5NmJHDpGyi4QmKq
dreamy pochette,https://acnhcdn.com/latest/ClosetIcon/BagShoulderYumekawa0.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderYumekawa0.png,NA,No,1080,270,23,Pink,Aqua,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Cute,Cute,everyday; fairy tale,1,No,For sale,2.0.0,Yes,BagShoulderYumekawa0,1472,14825,E89nNM59h2SNRBn8x
